"b_Intercept","b_BoroughBROOKLYN","b_BoroughMANHATTAN","b_BoroughQUEENS","b_BoroughSTATENISLAND","sigma"
4.07058099851313,-0.140467009416745,-0.412489246299626,-0.207449506182222,-0.326579635476534,1.32376258609405
4.07296384761846,-0.124768271979558,-0.431988016232297,-0.202487530901958,-0.322131330578486,1.31482901292227
4.06487311463975,-0.120896082202253,-0.352172226653158,-0.196839848742528,-0.313264265314731,1.330283379745
4.03689221965722,-0.129845115818092,-0.38921708349231,-0.227850424072296,-0.319614458881901,1.32479910644551
3.88991331974971,-0.103222473184261,-0.34163673846847,-0.17830673296157,-0.3343447838256,1.32420843998735
3.9341382980297,-0.136245438534106,-0.388466002956405,-0.183265653561097,-0.329983685098688,1.3222730603656
3.87225923501656,-0.111062871675231,-0.36879617578714,-0.166221657624009,-0.331600386635619,1.3192111226872
3.89595978127591,-0.113391683181364,-0.35452775268627,-0.172958693159118,-0.280128620026005,1.32565744176304
3.89069986275887,-0.0905980159577912,-0.350714754012814,-0.17728464866936,-0.312990469489453,1.31822816377623
3.87811304346793,-0.0775809702877057,-0.33469791573644,-0.173232157673593,-0.302033603087427,1.31770621260886
3.92785668725677,-0.119446507691039,-0.411429509404213,-0.197356930545083,-0.316830046273666,1.31409459866844
3.9153025067661,-0.113315614478211,-0.370440899476914,-0.201810480357279,-0.386079508373787,1.32217840629823
3.87980271219045,-0.131681022311228,-0.384850209883732,-0.20764932008691,-0.383271834452004,1.32282562855165
3.8818690070491,-0.132757386178007,-0.406057004064809,-0.186705065169305,-0.299502477862359,1.33451004293787
3.86328309706627,-0.1105395243855,-0.38405329810535,-0.170497065072826,-0.268904563857628,1.33148343581787
3.8970883792409,-0.0977378430605463,-0.391742259418874,-0.156195696013733,-0.303740532693699,1.32929481805821
3.88311726105027,-0.127316599673097,-0.387542020639867,-0.188411627658364,-0.319490169583244,1.32437850174121
3.89304729174167,-0.0896297490964453,-0.344013451042447,-0.165578165807126,-0.270292653296657,1.32513526900278
3.87318209273024,-0.102476434511771,-0.364985741675474,-0.183033400207506,-0.347183972087541,1.32759513072764
3.89948714973109,-0.125312104127253,-0.403010267805166,-0.218733450452669,-0.34497468769474,1.3284454503243
3.83958998217454,-0.119529279612685,-0.356422934454616,-0.162950624192462,-0.267671943744967,1.32240524453526
3.82055968681516,-0.141081533026836,-0.389219750529902,-0.190728628191988,-0.350139919918974,1.32284528126644
3.77226665628125,-0.117538238185104,-0.378952416824433,-0.191711886677197,-0.307144989728708,1.32199566097726
3.67855369695805,-0.104973122156088,-0.361950763077513,-0.197086724919162,-0.319083519407672,1.32173332196652
3.78827541784233,-0.130177643622552,-0.37640504368262,-0.202511462100934,-0.302149536650967,1.32084035978307
3.84125376478256,-0.130743873683715,-0.381820716075357,-0.221459330473018,-0.312675406833566,1.31785812313118
3.81081989202884,-0.0986090427988565,-0.349846983891056,-0.157793729122826,-0.291315866574763,1.32152691476606
3.77359524841568,-0.140459829079315,-0.411043631046705,-0.238563396055595,-0.359930367677286,1.32634166128919
3.82198189213356,-0.118352364816219,-0.388720856916903,-0.216423647950229,-0.296329247720607,1.3193546560793
3.77820201826618,-0.129826329524505,-0.421629896678163,-0.232779609085917,-0.297493985029517,1.3263729968768
3.73009631561959,-0.109375069976252,-0.369464024180877,-0.21096329921142,-0.304447845675368,1.3170156702928
3.69745901559045,-0.0820942129327875,-0.327813598458857,-0.160817597795894,-0.267645289256413,1.32330275764494
3.75069260223007,-0.0771522666490917,-0.37892842819777,-0.168379126560536,-0.285419281830737,1.32232796194091
3.58214596469438,-0.100026406047746,-0.363103334307571,-0.160169789526014,-0.257383971252068,1.3206035990373
3.55687780236687,-0.113335616623467,-0.382095098104014,-0.183549547856078,-0.35310496402381,1.32350232253182
3.50194169341104,-0.0975206627308062,-0.381943308698691,-0.180156036600553,-0.276188284052435,1.32286635803843
3.51992113848208,-0.145622570229533,-0.393325193228959,-0.19942088737063,-0.34150244111546,1.32517492714312
